,Unnamed: 0,Papel,Unnamed: 0.1,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1,Setor,Subsetor,Cat_Cluster
85,85,CEED3,34,0.4950599670410156,0.09578704833984376,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0.04665946960449219,0.31534385681152344,Energia Elétrica,Energia Elétrica,R
86,86,CEED4,35,0.11885833740234375,0.03314208984375,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.029949188232421875,0.06319808959960938,Energia Elétrica,Energia Elétrica,R
87,87,CEGR3,36,0.7986888885498047,0.1390399932861328,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.07356452941894531,0.013278961181640623,Gás,Gás,B
88,88,CEPE3,37,0.07932662963867188,0.016920089721679688,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.9216537475585938,0.7952308654785156,Energia Elétrica,Energia Elétrica,B
89,89,CEPE5,38,0.04427909851074219,0.05236625671386719,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.11696434020996095,0.02813720703125,Energia Elétrica,Energia Elétrica,B
90,90,CEPE6,39,0.1644268035888672,0.04925537109375,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.007852554321289062,0.0113067626953125,Energia Elétrica,Energia Elétrica,B
91,91,CESP3,40,0.013820648193359377,0.001041412353515625,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05785560607910156,0.004215240478515625,Energia Elétrica,Energia Elétrica,B
92,92,CESP5,41,0.22074508666992188,0.030424118041992188,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2176055908203125,0.023000717163085938,Energia Elétrica,Energia Elétrica,B
93,93,CESP6,42,0.005739212036132813,0.1440296173095703,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.14877891540527344,0.13421630859375,Energia Elétrica,Energia Elétrica,B
94,94,CGAS3,43,607.7505607604979,1619.4603385925293,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1968.8805046081545,8403.561290740967,Gás,Gás,B
95,95,CGAS5,44,0.16324615478515625,0.19692611694335932,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5659370422363281,0.14035797119140625,Gás,Gás,B
96,96,CGRA3,45,0.0321388244628924,0.02846431732177912,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13485431671142756,0.0520820617675799,Comércio,"Tecidos, Vestuário e Calçados",D
97,97,CGRA4,46,0.04730319976806818,0.03388118743896307,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2164602279663104,0.189791679382326,Comércio,"Tecidos, Vestuário e Calçados",D
